"","X","McAllister.LTS.MD10","McAllister.LTS.MD11","McAllister.LTS.MD12","McAllister.LTS.MD13","McAllister.LTS.MD14","McAllister.LTS.MD15","McAllister.LTS.MD16","McAllister.LTS.MD17","McAllister.LTS.MD18","McAllister.LTS.MD19","McAllister.LTS.MD2","McAllister.LTS.MD20","McAllister.LTS.MD21","McAllister.LTS.MD3","McAllister.LTS.MD4","McAllister.LTS.MD5","McAllister.LTS.MD6","McAllister.LTS.MD7","McAllister.LTS.MD8","McAllister.LTS.MD9","McAllister.STS.MD1","McAllister.STS.MD10","McAllister.STS.MD11","McAllister.STS.MD12","McAllister.STS.MD13","McAllister.STS.MD14","McAllister.STS.MD15","McAllister.STS.MD16","McAllister.STS.MD17","McAllister.STS.MD18","McAllister.STS.MD19","McAllister.STS.MD2","McAllister.STS.MD20","McAllister.STS.MD21","McAllister.STS.MD22","McAllister.STS.MD3","McAllister.STS.MD4","McAllister.STS.MD5","McAllister.STS.MD6","McAllister.STS.MD7","McAllister.STS.MD8","McAllister.STS.MD9"
"11","Zotu.0011",2,1,0,1,3,0,2,3,2,0,0,0,0,1,1,1,1,0,1,1,1,0,2,1,0,2,0,0,3,0,0,0,2,1,1,2,0,1,1,0,1,0
"12","Zotu.0012",0,1,0,1,0,2,0,3,1,1,0,0,0,4,1,2,1,0,1,0,1,1,1,0,0,0,3,1,0,0,2,1,0,1,1,1,2,3,0,0,1,1
"13","Zotu.0014",0,1,2,1,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,1,2,1,1,2,1,0,1,0,2,0,3,1,5,0,0,2,1,2,2,3,1,1
"14","Zotu.0015",0,3,1,4,1,0,1,0,0,1,1,0,4,1,0,1,0,1,3,1,3,5,1,1,2,1,1,1,0,1,0,0,2,1,0,2,0,1,0,0,2,0
"15","Zotu.0016",1,1,1,1,0,0,2,5,1,2,1,0,2,0,1,1,1,4,0,0,0,2,0,1,1,1,1,2,0,2,0,0,2,0,0,1,0,1,1,1,1,2
"16","Zotu.0017",3,2,0,1,1,2,0,0,2,0,2,3,0,0,3,1,1,3,1,1,0,1,1,1,1,0,1,1,1,1,2,0,2,0,1,2,1,2,2,1,2,1
"17","Zotu.0018",2,0,1,0,1,3,3,0,1,2,0,3,0,1,2,0,1,0,1,0,1,0,3,1,0,2,0,1,2,2,0,1,1,0,3,2,0,2,0,0,2,0
"18","Zotu.0019",0,3,0,5,1,1,2,2,1,0,0,0,1,1,0,0,0,1,2,1,1,0,1,1,1,1,0,1,2,1,1,3,1,1,0,1,0,0,1,1,1,0
"19","Zotu.0020",0,1,1,1,1,2,1,1,0,0,1,0,0,1,1,2,0,1,2,0,2,2,1,1,0,5,1,0,2,1,1,1,0,1,0,1,0,0,2,2,2,1
"20","Zotu.0021",2,0,0,2,1,1,0,0,0,1,3,0,1,1,0,1,2,2,1,0,2,3,1,0,2,2,1,1,3,3,1,2,0,1,1,0,0,2,0,2,1,1
"21","Zotu.0022",1,1,0,2,2,1,1,4,1,1,1,2,1,1,2,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,3,1,1,1,0,1,0,1,2,0,1,0
"22","Zotu.0023",3,0,1,0,3,1,0,0,0,2,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,1,0,2,0,2,1,1,1
"23","Zotu.0024",1,0,1,1,0,0,1,2,2,6,0,1,0,1,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,0,0,1,2,1,2,2,1,1,2,2,2,1
"24","Zotu.0025",2,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,3,2,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,2,2,1,1,1
"25","Zotu.0026",1,0,3,1,2,1,2,0,0,0,2,1,2,4,2,3,0,2,0,0,0,3,3,1,0,3,1,1,0,0,1,1,1,2,1,2,2,0,2,2,0,0
"26","Zotu.0027",3,0,4,4,2,2,0,3,1,1,1,2,0,1,0,2,1,1,1,2,2,0,1,1,0,2,0,0,2,0,0,0,0,2,0,3,2,1,1,3,1,0
"27","Zotu.0028",1,0,5,0,2,0,2,1,2,3,1,0,2,1,0,0,1,1,1,0,1,1,0,1,0,0,2,1,0,1,1,0,1,0,0,2,1,1,0,1,1,1
"28","Zotu.0029",2,2,3,1,0,1,0,1,2,1,1,0,0,0,1,1,2,2,1,1,0,0,1,0,1,0,1,2,2,0,0,1,1,2,3,2,1,0,1,1,1,0
"29","Zotu.0030",2,2,3,3,0,1,0,2,0,0,0,0,2,1,0,0,1,1,1,1,0,3,1,1,2,2,1,0,0,1,2,2,0,2,1,0,3,2,1,2,2,2
"30","Zotu.0031",1,2,0,0,1,0,0,0,2,0,1,0,1,0,3,1,0,0,2,1,0,1,0,0,1,1,2,0,0,2,0,1,0,2,1,0,0,0,1,0,0,2
"31","Zotu.0032",1,2,0,1,2,1,1,0,2,1,2,1,4,1,4,1,2,0,0,0,1,1,0,1,0,0,3,2,2,1,1,2,0,0,1,2,0,2,0,0,1,1
"32","Zotu.0033",2,1,0,5,0,0,1,1,2,2,1,1,2,0,2,0,0,0,1,1,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,2,1,1,0,2,1,1
"33","Zotu.0034",1,1,1,2,1,0,0,1,0,2,3,2,0,4,2,1,1,1,2,3,1,0,0,0,3,2,2,1,0,1,2,0,2,1,0,0,0,0,1,0,1,1
"34","Zotu.0035",0,1,2,0,0,2,0,2,3,0,0,0,1,0,0,0,2,2,2,3,0,1,2,0,1,0,2,2,1,0,1,0,0,2,1,1,0,1,1,0,3,1
"35","Zotu.0036",2,0,1,2,1,0,2,2,3,1,1,1,0,0,2,1,0,0,1,2,0,1,1,2,0,0,0,0,1,1,0,1,0,4,3,1,1,0,2,0,0,1
"36","Zotu.0037",2,0,1,1,1,2,0,1,0,2,1,1,1,3,0,0,0,2,0,2,0,1,1,3,1,1,2,1,3,1,0,0,1,0,0,1,1,1,2,3,0,2
"37","Zotu.0038",2,1,1,3,0,0,0,1,2,0,3,1,2,0,1,2,0,0,2,2,2,1,0,0,0,1,0,1,0,1,2,1,0,1,3,0,0,0,2,1,1,2
"38","Zotu.0039",2,0,0,1,1,2,1,2,1,1,1,0,0,1,1,2,1,1,3,0,2,1,4,3,0,3,1,0,3,4,0,2,4,2,1,0,1,3,0,1,0,1
"39","Zotu.0040",1,1,4,1,0,0,0,3,1,0,1,1,0,0,0,3,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,4,0,0,0,2,1,2,1,0,1,0
"40","Zotu.0041",2,3,2,1,1,0,0,1,2,0,0,0,2,1,0,0,1,0,2,3,1,1,0,0,0,1,0,1,1,1,1,0,1,2,2,4,1,3,2,0,1,1
"41","Zotu.0042",0,0,0,1,2,1,3,0,0,1,0,0,2,0,2,0,0,1,0,1,0,1,0,0,2,1,2,0,2,1,1,2,1,0,1,0,0,0,1,2,2,2
"42","Zotu.0043",1,2,2,0,1,0,1,2,1,0,4,1,1,3,0,1,2,5,1,1,0,1,3,0,1,1,1,2,0,1,2,0,2,1,1,0,0,0,1,2,0,1
"43","Zotu.0044",1,0,1,0,0,0,0,1,2,0,3,1,1,0,1,2,2,2,1,2,1,1,1,1,2,2,0,1,2,2,3,0,1,3,1,1,0,3,0,1,1,1
"44","Zotu.0045",0,2,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,1,1,0,1,0,2,1,0,1,3,1,3,0,0,1,1,1,1,0,2,1,0,0,0,1
"45","Zotu.0046",0,1,1,3,0,0,1,0,0,0,0,2,3,1,3,1,1,1,1,1,1,1,0,1,0,0,1,3,0,1,0,0,0,0,3,1,1,2,0,0,2,0
"46","Zotu.0047",0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,0,1,1,4,0,1,2,0,1,1,0,1,1,0,1,2,1,0,4,0,2,0,1,0
"47","Zotu.0048",0,1,1,1,0,1,0,2,3,1,0,1,1,0,2,0,1,2,1,0,4,2,2,0,1,1,3,0,0,2,1,0,0,0,2,0,0,1,1,0,0,2
"48","Zotu.0049",0,1,1,1,4,0,1,1,0,2,0,0,0,0,1,1,0,1,2,1,0,1,1,2,1,0,1,0,1,1,0,1,1,0,1,1,4,2,0,0,0,0
"49","Zotu.0050",3,2,0,3,1,0,1,3,1,1,1,1,4,2,1,3,1,0,3,2,1,1,0,0,0,1,1,1,0,0,2,1,2,0,1,1,1,0,1,2,1,3
"50","Zotu.0051",1,0,1,0,0,2,2,3,0,2,2,1,0,1,1,0,2,0,2,1,2,0,0,1,1,2,1,1,0,2,0,0,3,0,1,1,0,3,0,2,0,1
"51","Zotu.0052",2,1,0,1,2,2,0,2,1,1,2,0,1,0,0,1,0,2,2,2,1,0,1,2,3,1,0,0,0,1,0,1,3,1,1,2,1,0,2,1,1,2
"52","Zotu.0053",0,0,1,0,2,1,0,1,0,0,2,1,2,0,1,3,1,1,3,0,0,0,2,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,1,1,1,0
"53","Zotu.0054",2,0,1,0,1,0,2,0,0,0,0,1,0,1,1,1,2,2,2,0,0,0,3,1,1,0,0,2,1,3,1,0,1,3,0,1,2,2,1,2,1,0
"54","Zotu.0055",0,1,0,1,2,0,0,1,1,0,0,0,3,3,0,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1,3,1,1,1,1,0,3,1,1,0,1
"55","Zotu.0056",2,1,2,2,1,1,1,2,2,1,0,0,1,1,1,0,0,1,2,0,0,1,2,2,1,2,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0
"56","Zotu.0057",0,2,4,1,1,0,2,0,2,2,0,0,2,0,0,0,0,0,1,1,0,1,2,1,1,3,1,0,0,0,0,1,3,3,0,0,1,2,0,0,3,0
"57","Zotu.0058",0,0,3,2,0,2,0,2,3,1,0,0,0,0,0,0,1,1,1,3,0,1,1,0,2,2,3,1,1,0,0,0,1,1,0,0,4,3,0,2,0,0
"58","Zotu.0059",1,1,1,2,1,1,0,1,2,2,1,1,1,2,0,1,1,2,0,1,0,0,1,0,2,2,2,3,0,3,2,2,2,0,0,4,1,2,0,2,1,1
"59","Zotu.0060",1,0,1,1,0,3,0,1,0,1,2,0,0,0,2,1,2,2,1,1,3,2,0,0,0,1,0,2,1,2,3,1,1,1,0,2,1,1,1,0,2,1
"60","Zotu.0061",0,1,0,1,1,0,2,1,0,1,1,0,1,1,1,2,0,0,0,1,1,3,0,2,0,0,2,0,0,1,2,1,2,3,2,0,2,0,0,1,2,5
"61","Zotu.0062",1,2,0,0,3,0,0,2,0,1,1,1,0,0,0,0,1,0,1,1,1,0,2,1,1,2,1,0,1,0,1,2,0,1,0,1,0,2,0,0,0,0
"62","Zotu.0063",1,1,0,2,2,1,1,1,1,0,1,0,1,0,1,2,0,2,2,1,1,2,0,3,0,1,1,1,1,3,0,0,0,1,3,2,2,1,0,1,0,1
"63","Zotu.0064",1,1,1,0,2,1,0,3,2,1,2,0,1,2,3,0,1,2,0,1,1,1,1,2,3,2,1,1,0,0,0,1,0,1,1,1,0,0,2,0,1,1
"64","Zotu.0065",3,2,1,0,1,1,3,1,1,0,1,2,0,0,2,2,1,1,1,2,0,2,0,0,4,0,0,0,3,2,1,0,3,2,1,1,1,3,0,2,1,1
"65","Zotu.0066",1,1,2,1,0,0,2,1,1,1,1,3,0,2,0,1,0,1,1,0,0,0,0,1,0,2,3,1,1,0,1,2,0,2,0,2,0,3,0,0,2,2
"66","Zotu.0067",3,1,1,4,1,0,2,1,1,0,0,1,1,0,2,1,1,0,3,3,0,1,0,4,1,1,1,0,1,0,1,2,1,1,2,0,1,1,0,2,0,3
"67","Zotu.0068",1,0,1,1,1,2,0,1,2,0,4,1,1,0,0,1,1,3,1,0,0,3,1,0,0,0,3,3,0,1,1,0,2,1,3,1,2,0,2,0,1,0
"68","Zotu.0069",0,2,2,1,1,2,1,0,0,1,2,0,0,1,2,2,0,1,0,1,2,0,0,0,1,2,2,0,3,2,0,4,2,2,0,1,0,0,1,0,1,1
"69","Zotu.0070",0,1,1,0,0,1,0,0,0,1,2,1,0,0,1,1,0,0,1,0,1,0,5,1,1,0,0,1,1,1,2,2,1,0,1,0,3,1,2,1,1,2
"70","Zotu.0071",0,1,0,2,0,0,1,3,1,1,2,1,1,1,1,2,1,1,1,0,2,0,0,1,1,1,0,1,1,1,1,3,2,1,0,1,0,1,1,0,0,2
"71","Zotu.0072",1,0,0,3,2,2,1,0,1,3,1,0,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,2,0,0,4,2,0,0,1,0,0,0,1,3,0,1
"72","Zotu.0073",0,0,3,0,1,0,0,1,1,0,3,2,2,1,1,1,2,2,1,1,1,0,1,2,1,1,2,0,2,1,2,1,1,0,0,0,3,0,1,1,0,0
"73","Zotu.0074",1,2,3,1,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,1,1,2,1,1,5,1,3,1,0
"74","Zotu.0075",1,4,1,1,1,0,1,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0,1,4,2,1,0,2,1,2,1,0,0,2,1,3,0,0,2,0,1,1
"75","Zotu.0076",2,0,1,0,0,0,1,2,1,1,1,0,0,1,2,0,2,0,1,0,0,2,0,1,1,3,2,1,1,0,1,2,0,2,2,0,0,1,1,2,1,1
"76","Zotu.0077",1,0,2,2,0,1,0,2,1,1,1,1,1,1,1,2,0,2,1,1,3,3,1,4,1,1,2,0,3,2,2,0,1,0,0,0,1,0,2,2,0,0
"77","Zotu.0078",1,1,0,2,0,2,0,0,3,0,1,3,1,1,0,1,0,2,3,2,3,1,2,1,2,3,0,0,2,3,1,1,0,0,1,2,1,3,1,0,0,2
"78","Zotu.0079",1,4,0,1,2,1,1,1,1,0,3,1,1,0,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,2,0,0,0,2,1,0,1,2,1,2,0,1
"79","Zotu.0080",2,2,2,1,1,0,0,1,1,2,0,1,1,1,0,2,0,0,0,1,1,0,0,1,2,1,1,2,2,3,1,1,0,2,0,2,1,1,6,0,0,1
"80","Zotu.0081",3,0,0,1,2,1,1,0,3,1,0,0,1,2,1,0,0,0,1,2,0,2,1,1,1,2,2,0,1,0,1,2,2,0,2,1,1,2,2,2,0,2
"81","Zotu.0082",1,1,0,0,1,1,1,1,2,2,0,2,0,1,0,0,0,0,2,0,1,0,3,1,0,0,2,2,0,2,1,0,0,2,0,2,1,2,0,0,0,2
"82","Zotu.0083",2,1,1,0,0,2,2,1,1,2,0,2,2,2,0,0,0,1,1,0,2,0,0,2,0,1,1,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0
"83","Zotu.0084",0,1,0,0,0,1,0,1,1,1,1,0,0,1,3,1,0,1,0,1,1,1,1,1,0,0,0,2,2,3,1,1,0,3,0,1,0,1,1,2,1,0
"84","Zotu.0085",0,0,1,0,0,1,0,3,1,0,1,0,1,1,0,0,3,3,1,2,1,0,2,0,2,1,2,0,0,1,0,2,0,1,1,1,1,1,0,1,2,2
"85","Zotu.0086",1,1,2,1,0,1,1,1,0,3,1,0,0,0,1,2,1,1,2,0,3,2,3,0,0,3,2,1,1,0,1,1,3,2,3,2,1,0,1,0,0,0
"86","Zotu.0087",0,2,0,0,0,2,1,0,1,1,2,1,1,0,2,2,2,1,0,1,2,1,1,0,3,0,0,1,0,1,0,0,1,0,1,0,0,2,1,0,0,1
"87","Zotu.0088",0,2,1,2,1,2,1,2,1,0,2,0,0,1,1,1,1,0,2,1,2,0,0,3,0,2,2,0,2,2,1,1,0,2,1,0,1,1,0,0,1,2
"88","Zotu.0089",1,0,0,2,1,0,0,2,2,1,1,3,1,1,3,0,0,0,0,1,1,0,0,0,0,1,2,1,3,1,1,1,1,0,1,1,0,2,1,2,3,0
"89","Zotu.0090",0,2,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,1,1,0,1,1,1,4,1,1,0,2,2,1,0,1,4,2,0,0,0,1,2,2,0
"90","Zotu.0091",0,1,2,0,2,1,3,1,1,3,1,0,3,0,1,1,1,2,1,2,0,4,1,1,0,1,2,0,0,0,2,0,2,1,2,1,0,2,0,1,0,0
"91","Zotu.0092",1,0,2,1,0,0,2,3,0,1,0,2,5,1,1,1,0,1,1,2,0,1,0,1,0,1,2,1,2,4,2,2,1,0,0,0,1,2,0,0,0,0
"92","Zotu.0093",1,3,0,1,0,0,1,1,1,0,3,1,3,2,0,1,0,3,1,1,3,1,0,3,2,0,2,1,1,3,1,0,1,0,0,0,2,0,1,2,5,2
"93","Zotu.0094",1,0,1,1,1,1,0,1,2,0,1,0,1,2,0,0,1,2,1,0,1,1,1,1,0,2,2,0,0,0,1,0,2,0,1,1,0,1,0,0,1,0
"94","Zotu.0095",0,0,3,1,1,1,0,4,1,0,0,0,4,0,2,0,1,2,0,0,1,1,0,1,1,1,1,1,0,2,1,1,0,2,1,0,0,1,2,1,2,1
"95","Zotu.0096",2,1,2,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,0,1,1,2
"96","Zotu.0097",2,0,2,2,3,0,1,1,0,1,1,0,1,0,0,0,2,0,1,1,4,1,1,0,1,1,3,1,0,1,0,0,0,0,1,2,1,0,3,0,0,2
"97","Zotu.0098",0,0,1,1,1,0,2,0,1,1,4,3,2,1,1,1,2,1,1,0,3,3,0,1,2,3,0,0,0,0,4,1,2,0,0,0,0,0,0,1,0,2
"98","Zotu.0099",1,3,3,4,2,1,1,1,0,2,0,2,2,0,0,0,1,0,1,0,0,1,2,2,1,0,1,0,1,1,0,0,2,0,3,0,2,1,1,1,0,2
"99","Zotu.0100",1,1,0,0,1,0,0,1,1,1,2,1,1,1,0,1,2,2,2,0,0,0,1,2,2,3,0,1,2,0,0,2,1,4,0,0,0,0,0,0,0,1
"100","Zotu.0101",0,0,0,0,1,1,1,2,1,0,1,2,3,0,0,2,2,0,2,1,3,3,0,1,0,1,2,0,1,1,3,1,1,0,2,0,1,1,0,1,4,1
"101","Zotu.0102",2,1,1,2,0,2,3,2,1,0,0,2,2,0,0,0,0,1,2,2,0,0,1,1,4,1,0,1,2,0,0,1,1,2,1,1,1,1,1,1,0,2
"102","Zotu.0103",1,2,2,1,0,0,0,1,2,0,0,0,0,0,1,0,2,1,0,1,0,0,2,2,2,0,1,2,1,0,0,0,1,2,2,0,3,3,1,0,1,0
"103","Zotu.0104",2,4,0,1,0,2,0,2,2,0,1,2,0,1,2,0,4,2,1,1,0,1,0,0,0,1,3,1,2,0,0,3,0,2,0,0,0,0,1,1,1,0
"104","Zotu.0105",0,1,1,1,0,3,1,0,3,0,1,3,2,0,2,1,0,0,1,0,1,1,2,2,1,0,0,2,1,1,1,1,0,1,2,0,1,0,0,0,1,3
"105","Zotu.0106",2,1,2,0,2,0,1,1,3,0,0,1,2,2,0,1,0,0,0,1,0,0,0,2,2,1,2,3,1,1,0,0,1,0,1,1,0,1,0,1,0,0
"106","Zotu.0107",2,0,2,0,1,1,1,2,1,0,0,1,3,0,0,2,1,1,3,0,0,2,1,1,2,1,1,1,1,2,1,0,1,3,2,0,2,2,0,1,1,1
"107","Zotu.0108",3,2,1,0,0,0,0,1,1,1,2,1,1,1,2,0,1,2,0,0,0,1,2,1,3,3,0,1,0,2,1,4,2,1,0,0,1,0,1,2,1,1
"108","Zotu.0109",1,1,0,1,1,2,1,1,1,0,2,0,2,1,2,0,2,0,0,2,2,0,0,1,2,2,0,0,3,0,0,0,2,2,1,2,0,1,1,0,1,1
"109","Zotu.0110",2,1,3,3,1,0,1,2,1,0,1,3,0,2,3,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,0,1,2,0,0,2,2,2,1,0,1,0
"110","Zotu.0111",2,3,0,0,3,0,1,0,2,0,1,0,3,0,1,3,1,1,2,0,2,1,0,0,0,1,1,0,1,2,0,0,0,0,1,2,0,1,0,2,2,3
"111","Zotu.0112",0,3,1,1,2,3,0,1,1,1,1,1,1,0,0,0,1,1,2,0,1,0,0,2,0,0,0,0,1,0,3,1,0,1,3,0,2,1,3,1,1,0
"112","Zotu.0113",3,0,0,1,0,1,3,0,1,0,2,1,2,1,2,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,2,1,0,0,1,4,1,0,1,1,0
"113","Zotu.0114",1,0,0,2,1,0,1,3,2,4,0,0,0,1,2,1,2,0,0,2,1,0,1,0,0,2,2,1,1,3,1,0,2,0,1,0,0,2,1,1,0,1
"114","Zotu.0115",0,2,1,0,3,2,0,0,1,1,1,0,3,1,3,3,3,0,1,1,3,0,1,1,0,0,1,2,0,1,0,1,3,1,2,0,1,1,0,1,2,1
"115","Zotu.0116",2,2,1,0,0,2,1,1,1,1,0,0,1,0,0,1,0,3,0,1,2,1,1,2,3,1,1,0,0,0,0,0,2,0,1,0,0,2,1,1,0,1
"116","Zotu.0117",1,2,0,0,1,1,0,0,1,1,1,1,0,2,3,2,1,0,5,1,2,1,1,1,2,0,0,2,1,1,1,1,1,0,0,0,2,2,0,0,1,1
"117","Zotu.0118",0,1,0,1,0,0,2,1,1,2,0,1,2,2,2,1,1,1,1,1,1,1,0,1,0,2,0,1,0,1,0,0,2,4,1,0,0,1,2,0,0,0
"118","Zotu.0119",1,0,2,2,1,1,3,3,1,1,1,0,3,1,1,1,2,0,0,0,1,0,0,1,4,1,1,0,1,2,1,3,2,0,1,0,0,2,1,2,0,3
"119","Zotu.0120",0,3,1,0,0,1,3,0,1,1,1,1,2,1,2,0,0,2,1,0,1,0,1,1,1,1,1,0,3,2,1,1,0,4,2,1,0,1,0,1,3,0
"120","Zotu.0121",0,1,1,4,3,1,0,0,1,0,1,2,2,2,0,1,1,1,2,3,1,0,1,2,1,0,1,0,1,1,0,0,1,2,1,0,3,0,1,2,0,1
"121","Zotu.0122",1,0,0,1,2,1,0,1,1,0,1,0,0,1,2,3,0,0,1,3,1,1,0,1,2,0,0,1,1,2,2,0,0,0,4,2,2,1,0,0,2,2
"122","Zotu.0123",1,2,0,1,1,0,2,0,3,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,2,1,1,2,0,1,0,2,1,0,1,2,2,0,1
"123","Zotu.0124",1,1,0,0,0,0,2,1,2,1,1,2,0,1,1,0,0,0,2,0,0,1,1,1,1,4,4,2,1,2,0,0,0,1,1,1,0,1,2,1,2,2
"124","Zotu.0125",4,0,1,1,2,2,1,0,1,0,3,1,2,1,2,1,0,1,0,1,0,0,2,1,1,1,0,2,3,2,0,0,2,2,1,0,0,3,2,4,0,2
"125","Zotu.0126",1,4,0,2,1,0,2,1,1,0,1,0,1,1,1,2,1,4,2,1,0,0,2,0,0,0,1,2,0,0,3,1,1,0,3,2,0,3,3,0,1,1
"126","Zotu.0127",0,0,2,2,1,0,4,0,1,0,1,2,0,0,0,2,1,1,0,2,0,1,0,0,1,1,0,0,0,1,3,1,1,0,1,2,1,2,0,0,0,0
"127","Zotu.0128",0,0,1,1,1,1,0,0,0,0,0,1,2,1,1,3,2,2,1,3,1,1,2,0,1,0,0,0,0,3,6,0,1,0,1,1,1,3,3,1,4,1
"128","Zotu.0129",2,0,0,1,1,0,1,1,0,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,2,1,1,1,0,0,1,2,0,0,0,0,0
"129","Zotu.0130",1,1,2,1,0,4,0,0,3,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1,1,1,0,1,0,2,2,1,2,0,1,1,1,2,1,2,2,0
"130","Zotu.0131",0,1,2,0,0,1,1,0,0,2,1,0,0,3,1,0,3,1,1,0,1,1,1,2,1,0,0,0,0,2,1,0,0,2,1,0,2,1,0,1,0,0
"131","Zotu.0132",0,0,1,1,0,1,1,1,0,1,0,2,0,1,4,2,0,1,2,1,0,2,2,2,0,0,1,1,1,1,0,0,0,1,1,0,2,1,2,0,0,0
"132","Zotu.0133",0,0,0,0,2,0,0,0,2,4,2,0,0,0,1,3,1,0,2,0,1,2,1,1,0,1,0,1,0,0,1,3,0,0,1,0,2,3,2,1,0,0
"133","Zotu.0134",1,0,0,1,0,1,1,2,0,0,2,1,4,2,0,0,0,2,1,0,1,3,1,1,1,1,0,1,1,0,0,3,1,1,1,2,0,0,0,0,1,0
"134","Zotu.0135",2,1,0,2,0,3,0,0,0,1,4,0,1,0,1,1,0,2,1,3,0,0,0,1,0,0,0,0,2,0,0,3,0,1,1,3,1,1,2,2,1,0
"135","Zotu.0136",1,1,0,1,2,4,0,2,0,1,0,1,1,0,1,0,0,1,3,1,3,0,0,1,2,2,0,2,1,0,1,2,1,0,3,1,0,1,0,3,2,0
"136","Zotu.0137",0,2,0,0,0,0,2,2,1,0,2,2,0,3,1,0,1,4,2,0,1,1,2,2,0,2,2,1,1,1,2,2,1,2,0,2,1,2,3,0,1,1
