"","Wargo.109865","Wargo.116774","Wargo.115690","Wargo.118369","Wargo.120662","Wargo.121296","Wargo.121409","Wargo.117349","Wargo.118370","Wargo.122639","Wargo.123197","Wargo.122114","Wargo.123305","Wargo.122637","Wargo.123704","Wargo.122410","Wargo.123009","Wargo.121585","Wargo.122412","Wargo.122724","Wargo.121891","Wargo.121892","Wargo.124418","Wargo.123986","Wargo.124419","Wargo.124421","Wargo.126747","Wargo.126802","Wargo.127261","Wargo.127262","Wargo.130510","Wargo.130511","Wargo.130801","Wargo.132265","Wargo.131512","Wargo.131300","Wargo.133270","Wargo.132266","Wargo.131541","Wargo.131302","Wargo.131051","Wargo.132538","Wargo.132268"
"OTU_1406",84,0,0,286,0,0,0,27,0,0,0,0,0,0,20,0,0,0,0,0,0,0,8,0,0,0,0,13,231,0,0,0,0,0,0,0,0,9,0,0,0,1,179
"OTU_160",21,0,0,0,0,0,0,151,189,0,0,0,0,0,0,28,0,0,0,0,0,13,0,0,0,0,0,0,0,49,0,0,0,0,0,0,306,0,0,0,0,0,0
"OTU_5",253,0,0,1740,10,22,4968,5102,1491,3,39,139,261,0,1,0,8,416,0,0,0,249,0,8901,2667,2857,1283,750,209,202,538,846,3290,2,0,2,0,27,1,0,1,127,4749
"OTU_2",264,18,1326,622,6897,91,16331,45,679,18,5038,6350,2649,2544,2,602,1817,2761,986,2,3614,82,1632,3891,10601,13844,4397,1141,386,2909,11969,5049,48,6505,28606,5,5,363,1820,0,11051,0,6385
"OTU_4",287,162,97,667,8821,101,126,1268,727,4,3572,1563,615,0,2,12,90,372,167,7745,423,39,811,655,5147,14666,4008,334,3895,1842,6,430,6,2305,4154,3369,0,113,1295,0,1421,2809,789
"OTU_43",113,3,0,594,866,0,1125,64,0,0,0,0,88,0,0,1,0,11,56,0,0,39,290,2,0,508,1156,0,0,254,1,0,0,0,0,0,0,153,542,0,440,0,171
"OTU_295",224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_57",52,33,3,373,203,0,2356,146,0,0,813,0,1,0,6,0,40,3,46,0,0,2,28,9,0,0,227,92,44,18,70,274,0,0,200,0,0,62,156,0,7,546,504
"OTU_131",139,0,0,5,132,23,5,13,6,0,0,3,901,0,0,0,1,0,0,0,26,55,1,0,1,0,1807,0,1,0,2,0,0,17,0,0,0,0,0,0,0,0,0
"OTU_26",251,172,67,41,3493,33,268,258,635,2,1749,2830,53,0,4,51,799,139,912,0,642,2,180,416,271,3,1764,56,682,400,1357,41,3834,7050,2427,0,3144,27,1397,0,4386,681,5653
"OTU_1285",45,0,0,24,0,1,0,0,0,0,1,37,34,3,0,26,0,0,0,0,0,0,0,0,6,0,0,107,0,0,47,176,0,3,0,3,0,0,4,0,1,0,0
"OTU_63",55,15,35,91,204,2,63,170,187,0,0,0,55,3,99,57,29,157,4,0,32,60,50,132,0,0,210,91,149,132,156,54,337,0,1017,70,333,55,94,0,310,3,112
"OTU_53",19,0,0,0,49,442,0,1013,580,54,0,0,42,0,133,0,0,0,152,0,16,0,0,0,1,0,5,88,317,0,1,0,0,41,791,0,642,0,0,0,252,65,0
"OTU_18",58,53,0,12,39,1275,884,27,1683,3811,205,169,113,67,279,6,10,8,55,46,35,3,14,6,55,641,13,130,53,13,376,145,7,102,73,89,209,6,61,2421,1542,319,51
"OTU_108",22,15,0,1,3,287,20,8,23,234,57,315,3,48,46,27,0,9,4,2,0,0,1,7,4,0,115,21,10,379,12,128,247,5,63,122,10,0,0,215,23,39,1
"OTU_27",1,11,0,3,26,97,120,44,729,372,27,571,22,76,1307,59,2,47,1,226,75,5,34,8,447,833,153,4,70,12,25,931,322,196,1296,213,1969,0,8,6181,193,452,3
"OTU_98",106,20,23,199,194,734,117,26,3,0,0,0,31,41,1,15,15,27,27,0,41,16,184,277,0,0,160,114,54,38,1,167,0,0,2,0,367,33,126,0,1,0,263
"OTU_195",5,0,1,51,249,7,44,2,0,0,0,0,0,0,2,26,9,71,15,0,0,0,0,0,0,0,0,0,0,2,0,0,17,22,0,105,0,2,51,0,0,0,11
"OTU_921",26,0,0,2,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"OTU_658",82,0,125,69,213,0,787,890,1251,0,67,0,0,0,0,57,40,28,65,0,0,46,172,273,0,80,971,0,215,219,0,31,2,0,240,0,0,30,0,0,335,1,150
"OTU_31",67,0,54,531,342,12,152,611,2,1716,1,0,19,0,0,38,0,0,1,0,0,118,1232,0,0,34,2080,340,0,1,289,102,1006,754,155,265,0,353,518,0,1,0,170
"OTU_904",10,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"OTU_40",27,153,7,182,942,14,11,70,5,279,0,0,7,0,2543,22,10,14,19,0,1,0,137,5,0,0,206,228,0,1,89,0,0,0,0,0,0,9,155,3365,0,0,16
"OTU_104",20,19,61,315,92,1,349,117,0,50,0,0,0,0,0,48,22,140,0,0,3,33,87,44,0,0,1228,1,391,128,48,0,32,0,371,102,0,115,317,1,0,42,8
"OTU_236",1,0,0,0,0,2,1,0,0,143,0,1,0,1,0,0,71,0,0,0,0,1,4,20,43,5,20,1,1,1,1,0,3,2,0,1,4,0,1,0,0,0,0
"OTU_290",21,16,284,18,505,18,459,40,101,0,306,455,224,29,0,73,134,106,62,0,73,7,317,58,1961,1643,237,114,16,414,451,350,0,907,254,10,7,15,372,0,1187,0,809
"OTU_8",31,190,0,535,149,5680,229,415,369,1946,0,5,2,338,0,38,613,4,1,141,6,0,143,785,189,1170,624,5,20,17440,11,15,1015,0,14,0,1,4,2,2057,3314,1359,21
"OTU_870",4,5,3,5,111,6,0,8,45,0,85,16,14,0,0,3,11,1,14,0,4,0,52,9,375,163,34,2,149,27,1,2,0,275,3,66,1,0,92,0,72,6,101
"OTU_23",15,14,5,56,1412,26,164,612,64,68,1483,0,21,70,690,57,184,153,83,318,57,21,261,62,0,2,967,63,1252,154,193,1,10,897,415,2,136,16,191,7592,22,176,1365
"OTU_248",16,20,0,0,0,55,0,0,0,43,0,25,1,0,21,21,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,11,0,16,0,0,49,0,0,0,0,0,0
"OTU_533",13,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0
"OTU_107",1,2,2,122,5,1,12,1,2,1,1,0,2,1,27,0,4,2,0,10,0,1,9,1,4,2,1,4,7,4,13,3,12,6,22,51,9,9,64,513,5,371,170
"OTU_942",2,0,0,3,0,1,2,6,46,0,3,0,15,0,0,0,0,2,0,0,0,1,0,7,27,36,8,9,0,6,4,6,27,0,0,0,0,0,0,0,0,0,0
"OTU_209",6,0,31,1,1004,0,892,83,79,0,221,8,83,0,0,5,47,36,53,1,22,0,139,89,1316,814,74,7,91,35,20,33,3,422,283,0,0,3,227,0,140,5,503
"OTU_1323",23,0,1,22,66,0,4,0,10,0,4,0,2,0,0,0,0,1,0,0,0,0,2,1,53,13,2,10,2,0,5,10,0,0,0,0,0,0,4,0,0,0,0
"OTU_93",45,0,81,0,3,3,6,1,4,0,0,0,0,0,0,42,428,0,11,0,0,9,0,0,365,1,0,615,69,0,0,0,0,419,0,0,0,0,0,0,0,2,0
"OTU_1040",8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"OTU_852",2,0,0,0,21,0,5,7,0,4,0,0,14,0,0,0,4,0,0,0,0,0,9,0,0,2,4,1,7,2,0,2,0,0,11,1,0,1,26,0,0,0,2
"OTU_54",15,49,10,29,38,2578,162,4,63,147,542,2417,25,309,11,6,2,23,47,1,140,2,3,1,2,47,526,200,70,2,138,227,15,32,23,5,19,2,45,3,101,2,7
"OTU_135",30,6,21,32,45,0,0,33,32,3,8,0,15,0,0,7,1,14,8,0,0,69,8,49,0,12,521,10,36,18,17,7,132,1,10,32,19,170,116,0,0,0,64
"OTU_1061",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"OTU_780",5,0,0,1,0,2,0,2,1,0,5,0,0,0,0,0,1,0,1,3,3,0,4,0,0,0,4,2,7,0,20,14,6,3,9,28,0,2,3,0,0,0,4
"OTU_887",15,0,0,4,0,1,1,0,0,0,0,9,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0
"OTU_1343",4,2,2,0,29,0,0,5,40,1,8,184,0,0,0,4,11,0,33,0,1,0,24,0,57,5,45,2,31,34,15,3,9,152,0,9,13,0,31,0,13,0,13
"OTU_825",6,0,0,2,18,1,21,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,1,3,0,0,2,0,0,0,3,0,0,0,2,0,0,0,3
"OTU_438",6,0,0,5,27,6,3,11,0,17,3,0,7,0,0,5,5,2,0,1,2,0,32,2,0,8,26,6,26,3,8,19,13,6,65,36,8,4,46,30,0,1,28
"OTU_910",18,20,1,11,8,2,1,5,137,0,1,130,0,0,0,1,18,3,45,0,3,0,38,0,365,1,58,10,17,24,7,15,0,59,0,0,2,0,135,0,119,34,184
"OTU_1407",1,15,2,0,76,2,162,3,84,0,4,23,45,0,0,0,27,2,2,0,19,0,29,0,56,0,44,1,83,3,12,9,1,89,8,0,14,0,90,0,3,0,55
"OTU_542",28,97,20,161,108,23,7819,26,2091,0,3,74,150,0,0,0,9,45,372,0,64,0,146,3,4019,23,314,143,490,12,35,282,381,233,1562,0,7,8,1590,1,2226,431,3327
"OTU_46",13,1,5,850,1659,2,86,1563,2,0,272,0,27,0,50,27,0,29,36,0,0,54,404,0,2,37,401,73,0,69,79,0,0,199,1244,16,349,374,845,6,0,11,353
"OTU_45",2,0,0,134,35,433,133,93,106,1353,279,2,10,6,406,29,447,4,1,38,8,15,1,637,312,0,2341,0,0,150,1,1,267,0,0,2,14,0,7,9,0,219,48
"OTU_1035",4,1,1,2,3,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0
"OTU_1337",4,0,4,4,62,2,7,0,4,39,0,0,4,0,1,5,6,0,0,0,0,0,14,0,0,16,13,15,1,1,11,1,1,0,1,9,1,0,21,0,0,0,22
"OTU_497",5,11,1,9,4,0,3,1,8,0,27,1,675,18,0,0,7,0,0,0,0,0,18,0,14,24,0,21,89,3,163,156,0,15,1,0,7,0,87,0,0,0,0
"OTU_345",5,0,0,7,0,0,0,0,0,0,0,2,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,54,0,0,32,244,0,0,0,0,0,0,0,0,0,0,0
"OTU_543",1,0,0,3,0,3,20,0,0,83,1,4,0,0,2,0,1,0,0,1,0,1,2,16,0,0,1,1,0,1,3,0,210,1,3,0,2,0,7,100,1,18,1
"OTU_972",14,38,11,44,98,5,2,4,6,0,63,15,2,0,0,0,24,7,6,0,5,0,10,2,24,1,12,3,5,21,15,3,0,673,0,0,246,2,142,0,297,67,361
"OTU_261",7,0,0,119,83,5,13,67,11,0,0,0,0,0,0,104,7,0,11,0,69,0,1,0,0,0,145,131,0,0,109,0,320,0,2,0,0,36,18,0,0,0,234
"OTU_991",2,11,0,0,0,54,14,0,4,40,11,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,14,15,4,0,1,0,0,0,3,0,0,0,7,0,4,0,1
"OTU_648",3,3,5,1,124,0,107,18,7,0,29,37,2,0,0,0,0,0,4,0,0,0,13,2,21,0,4,0,5,4,8,32,0,34,16,1,0,4,4,0,0,0,24
"OTU_1405",3,0,0,13,12,10,10,4,9,1,1,4,2,0,0,0,0,0,0,0,0,0,6,9,16,17,17,20,17,26,18,12,15,9,7,12,9,3,7,9,5,12,7
"OTU_713",2,1,6,6,92,4,22,4,1,60,1,0,0,0,3,0,11,0,0,0,0,0,8,0,0,0,11,9,3,4,11,3,1,0,13,1,0,0,20,9,0,0,45
"OTU_312",1,0,12,4,80,4,42,37,2,122,25,0,6,0,2,8,19,0,1,0,0,2,16,6,0,14,49,13,26,16,17,1,1,5,25,11,3,3,90,0,0,6,74
"OTU_74",2,0,14,37,1,2120,52,15,2,0,10,0,67,81,2,0,0,0,0,13,0,20,465,43,7,0,218,15,7,0,83,2,0,96,0,61,0,41,147,50,0,1,0
"OTU_493",8,0,0,3,0,0,1,50,24,0,78,7,3,0,0,0,0,4,0,0,0,2,0,10,0,0,11,10,94,55,2,29,0,0,0,0,0,32,0,0,0,13,147
"OTU_48",12,0,25,73,682,0,301,1073,0,6,0,0,8,33,0,4,1,73,0,0,0,8,16,0,0,4,3,16,1,5,0,186,0,0,77,0,3463,36,2,0,0,0,10
"OTU_576",1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,5,3,3,2,1,2,2,14,3
"OTU_246",2,0,0,5,27,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,532,0,34,0,0,145,0,0,0,23,0,0,0,0,150,0,1220,0,0
"OTU_293",6,0,8,2,12,9,53,36,36,43,37,99,16,5,0,0,2,5,2,0,11,0,7,3,5,0,55,6,21,10,0,36,0,33,262,51,856,1,1,0,0,36,4
"OTU_867",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"OTU_826",8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"OTU_85",6,1,0,4,7,115,8,4,389,1,30,1,2,44,0,2,2,125,1,36,10,2,0,19,1,0,62,3,1,134,0,7,157,19,1860,200,0,1,0,0,11,0,0
"OTU_874",1,3,3,2,3,1,132,2,13,0,0,13,0,0,0,1,1,0,4,0,0,0,0,2,18,0,3,0,7,0,3,2,19,21,5,0,2,0,10,0,10,0,21
"OTU_627",2,0,1,0,49,11,0,18,1,14,0,0,10,0,0,0,0,2,0,0,0,3,18,1,0,5,24,3,12,12,0,0,2,0,44,9,2,0,42,11,0,0,12
"OTU_866",2,0,0,0,56,0,0,6,0,56,0,0,3,0,1,0,3,0,0,0,0,0,5,0,0,0,4,8,0,2,3,0,0,0,0,0,0,0,12,34,0,0,0
"OTU_657",12,0,0,10,82,0,177,4,8,53,0,0,2,0,0,1,17,1,0,0,0,0,11,0,0,6,11,19,8,10,31,10,0,0,7,6,2,0,20,0,0,2,14
"OTU_394",1,0,16,2,42,0,115,32,8,0,15,7,5,16,0,2,8,18,4,0,3,1,10,23,8,35,33,2,4,6,28,17,2,14,71,0,0,10,20,0,31,0,22
"OTU_165",15,0,39,188,106,3,121,16,2,0,0,0,2,3,0,1,8,24,6,0,0,3,17,0,14,24,185,88,20,0,0,13,2,353,107,43,0,65,66,0,0,2,13
"OTU_937",5,0,1,1,3,10,7,1,0,0,0,0,2,1,0,1,1,0,2,0,1,2,5,38,0,0,8,2,1,0,0,2,0,0,0,0,27,0,2,0,0,1,4
"OTU_58",24,93,53,59,519,48,5,157,360,1,304,465,50,0,0,45,69,16,99,0,39,9,188,8,1336,953,268,58,345,344,91,107,2,1953,630,719,308,5,589,0,1065,72,908
"OTU_1029",3,0,4,8,17,0,0,25,2,0,0,6,0,0,0,0,0,3,1,0,1,0,0,0,19,0,1,0,0,0,0,3,3,12,51,12,0,0,0,0,0,0,0
"OTU_237",2,0,0,0,1,2,7,0,29,3,2,12,0,20,0,1,0,4,0,2,0,0,0,1,0,0,3,1,7,3,1,0,124,4,5,3,80,0,0,34,0,13,0
"OTU_1432",1,0,2,0,15,0,6,0,5,0,19,0,12,4,0,0,1,1,1,0,0,0,0,12,13,1,0,0,0,0,1,6,0,0,2,1,0,0,3,0,0,0,6
"OTU_1177",2,2,5,1,16,0,1,2,1,0,8,22,4,0,0,0,0,0,3,0,0,2,7,0,11,7,5,0,8,3,2,7,0,76,13,106,5,4,16,0,0,5,61
"OTU_353",2,0,0,8,5,0,0,0,1,0,7,2,0,0,0,0,0,2,0,0,0,0,7,0,0,0,7,21,5,0,16,6,0,0,1,3,3,2,0,0,0,0,0
"OTU_371",3,1,1,11,8,3,0,24,14,0,9,9,2,0,0,0,2,7,2,0,0,2,2,1,122,45,10,2,15,15,3,5,0,7,0,8,1,2,0,0,0,0,49
"OTU_12",1,0,25,258,372,7,2,3428,2568,0,950,0,1172,4137,0,920,152,0,63,0,32,0,206,54,1,2,847,395,3101,304,123,82,0,0,2,1210,0,108,3740,0,1,0,312
"OTU_1230",1,0,1,15,9,12,14,7,14,1,0,0,1,0,0,0,0,0,0,0,0,0,5,6,17,6,18,19,14,22,26,15,15,9,8,4,8,3,8,9,8,8,9
"OTU_1431",1,0,0,3,0,14,5,2,10,0,0,0,0,0,0,0,0,295,315,0,0,0,1,718,4,3,1522,2,1,2,1,401,7,0,0,0,0,0,299,0,0,203,0
"OTU_936",2,0,0,0,5,0,42,1,7,0,6,4,0,0,0,0,2,1,2,0,0,0,0,2,29,5,0,0,7,1,1,2,7,8,0,2,0,0,0,0,0,0,44
"OTU_379",2,16,4,8,6,28,0,13,19,0,35,33,0,0,0,6,3,10,4,0,6,0,13,0,5,18,11,1,10,31,10,4,0,18,0,72,52,4,29,0,8,2,28
"OTU_959",3,0,3,10,13,14,7,12,11,1,2,5,2,0,0,0,0,0,0,0,0,0,6,6,15,5,12,10,9,27,25,9,8,15,9,10,7,4,21,8,14,11,8
"OTU_1207",1,2,3,10,9,13,27,8,15,3,3,1,1,0,0,0,0,0,0,0,0,0,6,5,20,5,29,20,12,26,28,15,8,12,15,5,9,6,12,8,9,11,10
"OTU_129",1,0,0,0,7,2,1,10,2,22,0,58,0,31,180,0,2,0,0,29,0,0,3,0,3,4,91,6,4,0,14,29,3,35,116,95,526,1,2,5,301,47,0
"OTU_169",2,0,0,4,8,1,0,5,54,0,23,27,3,78,0,1,0,1,0,0,4,6,0,16,3,123,17,4,10,5,0,34,21,125,131,0,283,0,7,0,146,0,111
"OTU_1427",3,0,1,0,8,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,1,8,0,0,3,0,0,0,0,3,0,0,3,0,0,0,10
"OTU_187",3,0,6,27,36,0,137,27,0,0,0,1,11,0,0,10,0,0,6,0,0,0,0,13,0,0,90,61,0,3,22,0,0,0,31,23,0,7,4,0,1,0,70
"OTU_582",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,9,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0
"OTU_212",1,0,3,24,9,6,4,4,2,1,1,5,0,2,1,0,1,0,0,0,0,2,0,214,1,0,22,4,2,9,6,1,6,4,17,8,10,7,19,7,6,15,13
"OTU_309",2,0,1,3,0,0,1,0,0,2,0,0,0,2,5,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,2,0,4,1,2,2,1,0,3,1,0,2,1
"OTU_84",2,33,0,114,0,834,2,6,69,230,4,165,4,7,546,0,1,12,15,5,2,0,5,37,2,50,2,18,0,1,45,5,520,0,20,16,95,2,10,137,98,20,254
"OTU_492",5,9,14,4,130,3,0,10,168,0,307,224,1,0,0,8,52,1,18,0,23,0,94,4,519,116,37,5,9,76,5,13,0,103,0,524,199,2,172,0,9,8,540
"OTU_1155",2,0,2,1,2,0,45,0,1,0,4,2,4,0,0,0,0,0,0,0,0,0,4,2,27,12,0,0,0,1,0,3,0,2,27,0,0,0,23,0,12,0,17
"OTU_1161",1,0,3,17,21,12,23,11,8,6,6,2,0,0,0,0,0,0,0,0,0,0,9,8,15,15,26,18,26,47,30,21,15,6,13,11,9,4,13,11,6,9,12
"OTU_1426",1,0,1,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
"OTU_36",2,0,18,86,196,4,35,87,144,0,23,0,10,0,255,15,10,75,28,0,38,30,50,321,0,0,174,294,0,22,119,1,5738,224,1,153,26,29,89,0,0,241,115
"OTU_1324",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_773",1,0,3,0,46,0,0,9,11,0,9,1,0,0,0,0,2,1,6,0,4,0,8,6,48,11,9,0,3,6,0,0,0,12,8,0,0,0,13,0,1,4,30
"OTU_1128",1,1,1,16,18,9,17,8,10,2,5,0,2,0,0,0,0,0,0,0,0,0,9,8,13,8,25,17,21,31,28,7,12,11,7,8,13,4,19,4,11,8,6
"OTU_651",1,3,0,2,1,0,25,0,11,0,2,0,0,0,0,0,2,1,1,0,1,0,0,0,4,0,4,1,6,0,0,0,4,4,2,0,0,0,10,0,1,1,8
"OTU_120",1,0,4,97,223,88,39,236,1,2,0,0,7,0,0,0,0,3,124,0,0,17,40,0,0,117,0,84,0,9,46,0,0,0,2,0,0,77,296,1,0,0,496
"OTU_177",10,4,0,4,13,0,94,13,17,0,16,0,28,1,0,1,5,3,4,0,5,0,4,0,5,33,82,43,30,10,23,36,0,23,34,0,32,1,6,0,11,0,11
"OTU_913",1,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1
"OTU_951",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,21,0,20,0,0,8,0,0,0,0,0,0,0,0,0,0,4
"OTU_934",1,0,0,10,73,3,33,4,2,15,2,0,2,0,2,1,6,0,1,0,0,0,9,0,0,0,5,4,2,0,4,1,0,0,0,0,0,0,9,27,0,2,32
"OTU_915",1,11,7,4,6,2,1,1,326,0,329,397,8,0,0,21,66,13,0,0,56,0,8,13,4,74,42,10,96,21,7,22,0,4,0,390,22,11,33,0,2,0,451
"OTU_210",3,0,10,0,20,3,7594,9,48,0,1,149,9,0,0,2,45,1,30,0,8,0,20,7,358,3,65,2,40,6,44,10,9,1082,603,0,1,0,50,0,316,0,314
"OTU_460",2,0,0,22774,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,689,0,0,0,6021,0
"OTU_189",4,3,0,47,0,0,57,30,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,292,0,0,1,0,0,0,0,0,0,2,0,0,0,0,105
"OTU_264",2,4,2,0,5,0,15,0,4,0,1,7,0,9,0,0,0,0,0,0,2,1,1,9,1,0,2,0,0,0,10,30,96,7,12,9,46,0,0,43,0,4,0
"OTU_1082",1,0,2,12,18,8,12,9,20,3,3,5,2,0,0,0,0,0,0,0,0,0,6,7,15,17,24,19,34,41,33,23,14,11,14,12,10,7,22,7,12,12,9
"OTU_115",0,3,90,14,5,47,18,2,3,11,19,65,2,22,11,0,15,2,3,4,1,9,0,54,68,7,135,9,0,24,2,1,238,3,19,6,1,8,13,14,277,194,18
"OTU_257",0,37,4,15,26,0,0,24,1,0,0,0,18,0,0,0,13,0,0,0,0,18,0,17,0,20,2,8,12,63,0,0,0,0,7,0,0,17,20,0,0,0,22
"OTU_55",0,119,56,402,409,5,0,87,0,0,0,0,370,47,0,14,5,110,60,54,76,11,338,0,0,20,203,541,412,135,375,1,0,158,372,458,0,56,150,1,0,0,355
